,age,job,marital,education,default,balance,housing,loan,contact,day,month,previous,poutcome,y
0,58,management,married,tertiary,no,2143.0,yes,no,unknown,5,may,0,unknown,no
1,44,technician,single,secondary,no,29.0,yes,no,unknown,5,may,0,unknown,no
2,33,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5,may,0,unknown,no
3,47,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5,may,0,unknown,no
4,33,unknown,single,unknown,no,1.0,no,no,unknown,5,may,0,unknown,no
5,35,management,married,tertiary,no,231.0,yes,no,unknown,5,may,0,unknown,no
6,28,management,single,tertiary,no,447.0,yes,yes,unknown,5,may,0,unknown,no
7,42,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5,may,0,unknown,no
8,58,retired,married,primary,no,121.0,yes,no,unknown,5,may,0,unknown,no
9,43,technician,single,secondary,no,593.0,yes,No,unknown,5,may,0,unknown,no
10,41,administrative,divorced,secondary,no,270.0,yes,no,unknown,5,may,0,unknown,no
11,29,administrative,single,secondary,no,390.0,yes,no,unknown,5,may,0,unknown,no
12,53,technician,married,secondary,no,6.0,yes,no,unknown,5,may,0,unknown,no
13,58,technician,married,unknown,no,71.0,yes,no,unknown,5,may,0,unknown,no
14,57,services,married,secondary,no,162.0,yes,No,unknown,5,may,0,unknown,no
15,51,retired,married,primary,no,229.0,yes,no,unknown,5,may,0,unknown,no
16,45,administrative,single,unknown,no,13.0,yes,no,unknown,5,may,0,unknown,no
17,57,blue-collar,married,primary,no,52.0,yes,no,unknown,5,may,0,unknown,no
18,60,retired,married,primary,no,60.0,yes,no,unknown,5,may,0,unknown,no
19,33,services,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
20,28,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5,may,0,unknown,no
21,56,management,married,tertiary,no,779.0,yes,no,unknown,5,may,0,unknown,no
22,32,blue-collar,single,primary,no,23.0,yes,yes,unknown,5,may,0,unknown,no
23,25,services,married,secondary,no,50.0,yes,no,unknown,5,may,0,unknown,no
24,40,retired,married,primary,no,0.0,yes,yes,unknown,5,may,0,unknown,no
25,44,administrative,married,secondary,no,-372.0,yes,no,unknown,5,may,0,unknown,no
26,39,management,single,tertiary,no,255.0,yes,no,unknown,5,may,0,unknown,no
27,52,entrepreneur,married,secondary,no,113.0,yes,yes,unknown,5,may,0,unknown,no
28,46,management,single,secondary,no,-246.0,yes,no,unknown,5,may,0,unknown,no
29,36,technician,single,secondary,no,265.0,yes,yes,unknown,5,may,0,unknown,no
30,57,technician,married,secondary,no,839.0,no,yes,unknown,5,may,0,unknown,no
31,49,management,married,tertiary,no,378.0,yes,no,unknown,5,may,0,unknown,no
32,60,administrative,married,secondary,no,39.0,yes,yes,unknown,5,may,0,unknown,no
33,59,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
34,51,management,married,tertiary,no,10635.0,yes,no,unknown,5,may,0,unknown,no
35,57,technician,divorced,secondary,no,63.0,yes,no,unknown,5,may,0,unknown,no
36,25,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5,may,0,unknown,no
37,53,technician,married,secondary,no,-3.0,no,no,unknown,5,may,0,unknown,no
38,36,administrative,divorced,secondary,no,506.0,yes,no,unknown,5,may,0,unknown,no
39,37,administrative,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
40,44,services,divorced,secondary,no,2586.0,yes,no,unknown,5,may,0,unknown,no
41,50,management,married,secondary,no,49.0,yes,no,unknown,5,may,0,unknown,no
42,60,blue-collar,married,unknown,no,104.0,yes,no,unknown,5,may,0,unknown,no
43,54,retired,married,secondary,no,529.0,yes,no,unknown,5,may,0,unknown,no
44,58,retired,married,unknown,no,96.0,yes,no,unknown,5,may,0,unknown,no
45,36,administrative,single,primary,no,-171.0,yes,no,unknown,5,may,0,unknown,no
46,58,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5,may,0,unknown,no
47,44,technician,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
48,55,technician,divorced,secondary,no,0.0,no,no,unknown,5,may,0,unknown,no
49,29,management,single,tertiary,no,0.0,yes,no,unknown,5,may,0,unknown,no
50,54,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5,may,0,unknown,no
51,48,management,divorced,tertiary,no,-244.0,yes,no,unknown,5,may,0,unknown,no
52,32,management,married,tertiary,no,0.0,yes,no,unknown,5,may,0,unknown,no
53,42,administrative,single,secondary,no,-76.0,yes,no,unknown,5,may,0,unknown,no
54,24,technician,single,secondary,no,-103.0,yes,yes,unknown,5,may,0,unknown,no
55,38,entrepreneur,single,tertiary,no,243.0,no,yes,unknown,5,may,0,unknown,no
56,38,management,single,tertiary,no,424.0,yes,no,unknown,5,may,0,unknown,no
57,47,blue-collar,married,unknown,no,306.0,yes,no,unknown,5,may,0,unknown,no
58,40,blue-collar,single,unknown,no,24.0,yes,no,unknown,5,may,0,unknown,no
59,46,services,married,primary,no,179.0,yes,no,unknown,5,may,0,unknown,no
60,32,administrative,married,tertiary,no,0.0,yes,no,unknown,5,may,0,unknown,no
61,53,technician,divorced,secondary,no,989.0,yes,no,unknown,5,may,0,unknown,no
62,57,blue-collar,married,primary,no,249.0,yes,no,unknown,5,may,0,unknown,no
63,33,services,married,secondary,no,790.0,yes,no,unknown,5,may,0,unknown,no
64,49,blue-collar,married,unknown,no,154.0,yes,no,unknown,5,may,0,unknown,no
65,51,management,married,tertiary,no,6530.0,yes,no,unknown,5,may,0,unknown,no
66,60,retired,married,tertiary,no,100.0,no,no,unknown,5,may,0,unknown,no
67,59,management,divorced,tertiary,no,59.0,yes,no,unknown,5,may,0,unknown,no
68,55,technician,married,secondary,no,1205.0,yes,no,unknown,5,may,0,unknown,no
69,35,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5,may,0,unknown,no
70,57,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5,may,0,unknown,no
71,31,services,married,secondary,no,25.0,yes,yes,unknown,5,may,0,unknown,no
72,54,management,married,secondary,no,282.0,yes,yes,unknown,5,may,0,unknown,no
73,55,blue-collar,married,primary,no,23.0,yes,no,unknown,5,may,0,unknown,no
74,43,technician,married,secondary,no,1937.0,yes,no,unknown,5,may,0,unknown,no
75,53,technician,married,secondary,no,384.0,yes,no,unknown,5,may,0,unknown,no
76,44,blue-collar,married,secondary,no,582.0,no,yes,unknown,5,may,0,unknown,no
77,55,services,divorced,secondary,no,91.0,no,no,unknown,5,may,0,unknown,no
78,49,services,divorced,secondary,no,0.0,yes,yes,unknown,5,may,0,unknown,no
79,55,services,divorced,secondary,yes,1.0,yes,no,unknown,5,may,0,unknown,no
80,45,administrative,single,secondary,no,206.0,yes,no,unknown,5,may,0,unknown,no
81,47,services,divorced,secondary,no,164.0,no,No,unknown,5,may,0,unknown,no
82,42,technician,single,secondary,no,690.0,yes,no,unknown,5,may,0,unknown,no
83,59,administrative,married,secondary,no,2343.0,yes,no,unknown,5,may,0,unknown,yes
84,46,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5,may,0,unknown,no
85,51,blue-collar,married,primary,no,173.0,yes,no,unknown,5,may,0,unknown,no
86,56,administrative,married,secondary,no,45.0,no,no,unknown,5,may,0,unknown,yes
87,41,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,0,unknown,yes
88,46,management,divorced,secondary,no,16.0,yes,YES,unknown,5,may,0,unknown,no
89,57,retired,married,secondary,no,486.0,yes,no,unknown,5,may,0,unknown,no
90,42,management,single,secondary,no,50.0,no,no,unknown,5,may,0,unknown,no
91,30,technician,married,secondary,no,152.0,yes,yes,unknown,5,may,0,unknown,no
92,60,administrative,married,secondary,no,290.0,yes,no,unknown,5,may,0,unknown,no
93,60,blue-collar,married,unknown,no,54.0,yes,no,unknown,5,may,0,unknown,no
94,57,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5,may,0,unknown,no
95,36,management,married,tertiary,no,101.0,yes,yes,unknown,5,may,0,unknown,no
96,55,blue-collar,married,secondary,no,383.0,no,no,unknown,5,may,0,unknown,no
97,60,retired,married,tertiary,no,81.0,yes,no,unknown,5,may,0,unknown,no
98,39,technician,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
99,46,management,married,tertiary,no,229.0,yes,no,unknown,5,may,0,unknown,no
100,44,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5,may,0,unknown,no
101,53,blue-collar,married,primary,no,90.0,no,no,unknown,5,may,0,unknown,no
102,52,blue-collar,married,primary,no,128.0,yes,no,unknown,5,may,0,unknown,no
103,59,blue-collar,married,primary,no,179.0,yes,no,unknown,5,may,0,unknown,no
104,27,technician,single,tertiary,no,0.0,yes,no,unknown,5,may,0,unknown,no
105,44,blue-collar,married,secondary,no,54.0,yes,no,unknown,5,may,0,unknown,no
106,47,technician,married,tertiary,no,151.0,yes,no,unknown,5,may,0,unknown,no
107,34,administrative,married,secondary,no,61.0,no,Yes,unknown,5,may,0,unknown,no
108,59,retired,single,secondary,no,30.0,yes,no,unknown,5,may,0,unknown,no
109,45,management,married,tertiary,no,523.0,yes,no,unknown,5,may,0,unknown,no
110,29,services,divorced,secondary,no,31.0,yes,no,unknown,5,may,0,unknown,no
111,46,technician,divorced,secondary,no,79.0,no,no,unknown,5,may,0,unknown,no
112,56,self-employed,married,primary,no,-34.0,yes,yes,unknown,5,may,0,unknown,no
113,36,blue-collar,married,primary,no,448.0,yes,no,unknown,5,may,0,unknown,no
114,59,retired,divorced,primary,no,81.0,yes,no,unknown,5,may,0,unknown,no
115,44,blue-collar,married,secondary,no,144.0,yes,no,unknown,5,may,0,unknown,no
116,41,administrative,married,secondary,no,351.0,yes,no,unknown,5,may,0,unknown,no
117,33,management,single,tertiary,no,-67.0,yes,no,unknown,5,may,0,unknown,no
118,59,management,divorced,tertiary,no,262.0,no,no,unknown,5,may,0,unknown,no
119,57,technician,married,primary,no,0.0,no,no,unknown,5,may,0,unknown,no
120,56,technician,divorced,unknown,no,56.0,yes,no,unknown,5,may,0,unknown,no
121,51,blue-collar,married,secondary,no,26.0,yes,no,unknown,5,may,0,unknown,no
122,34,administrative,married,unknown,no,3.0,yes,no,unknown,5,may,0,unknown,no
123,43,services,married,secondary,no,41.0,yes,yes,unknown,5,may,0,unknown,no
124,52,technician,married,tertiary,no,7.0,no,yes,unknown,5,may,0,unknown,no
125,33,technician,single,secondary,no,105.0,yes,no,unknown,5,may,0,unknown,no
126,29,administrative,single,secondary,no,818.0,yes,yes,unknown,5,may,0,unknown,no
127,34,services,married,secondary,no,-16.0,yes,yes,unknown,5,may,0,unknown,no
128,31,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
129,55,services,married,secondary,no,2476.0,yes,no,unknown,5,may,0,unknown,yes
130,55,management,married,unknown,no,1185.0,no,no,unknown,5,may,0,unknown,no
131,32,administrative,single,secondary,no,217.0,yes,no,unknown,5,may,0,unknown,no
132,38,technician,single,secondary,no,1685.0,yes,no,unknown,5,may,0,unknown,no
133,55,administrative,single,secondary,no,802.0,yes,yes,unknown,5,may,0,unknown,no
134,28,unemployed,single,tertiary,no,0.0,yes,no,unknown,5,may,0,unknown,no
135,23,blue-collar,married,secondary,no,94.0,yes,no,unknown,5,may,0,unknown,no
136,32,technician,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
137,43,services,single,unknown,no,0.0,no,no,unknown,5,may,0,unknown,no
138,32,blue-collar,married,secondary,no,517.0,yes,no,unknown,5,may,0,unknown,no
139,46,blue-collar,married,secondary,no,265.0,yes,no,unknown,5,may,0,unknown,no
140,53,housemaid,divorced,primary,no,947.0,yes,no,unknown,5,may,0,unknown,no
141,34,self-employed,single,secondary,no,3.0,yes,no,unknown,5,may,0,unknown,no
142,57,unemployed,married,tertiary,no,42.0,no,no,unknown,5,may,0,unknown,no
143,37,blue-collar,married,secondary,no,37.0,yes,no,unknown,5,may,0,unknown,no
144,59,blue-collar,married,secondary,no,57.0,yes,no,unknown,5,may,0,unknown,no
145,33,services,married,secondary,no,22.0,yes,no,unknown,5,may,0,unknown,no
146,56,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5,may,0,unknown,no
147,48,unemployed,married,secondary,no,293.0,yes,no,unknown,5,may,0,unknown,no
148,43,services,married,primary,no,3.0,yes,no,unknown,5,may,0,unknown,no
149,54,blue-collar,married,primary,no,348.0,yes,no,unknown,5,may,0,unknown,no
150,51,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5,may,0,unknown,no
151,26,student,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
152,40,management,married,tertiary,no,-4.0,yes,no,unknown,5,may,0,unknown,no
153,39,management,married,secondary,no,18.0,yes,no,unknown,5,may,0,unknown,no
154,50,technician,married,primary,no,139.0,no,no,unknown,5,may,0,unknown,no
155,41,services,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
156,51,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5,may,0,unknown,no
157,60,retired,divorced,secondary,no,216.0,yes,no,unknown,5,may,0,unknown,no
158,52,blue-collar,married,secondary,no,782.0,yes,no,unknown,5,may,0,unknown,no
159,48,blue-collar,married,secondary,no,904.0,yes,no,unknown,5,may,0,unknown,no
160,48,services,married,unknown,no,1705.0,yes,no,unknown,5,may,0,unknown,no
161,39,technician,single,tertiary,no,47.0,yes,no,unknown,5,may,0,unknown,no
162,47,services,single,secondary,no,176.0,yes,no,unknown,5,may,0,unknown,no
163,40,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5,may,0,unknown,no
164,45,technician,married,secondary,no,86.0,yes,no,unknown,5,may,0,unknown,no
165,26,administrative,single,secondary,no,82.0,yes,no,unknown,5,may,0,unknown,no
166,52,management,married,tertiary,no,271.0,yes,no,unknown,5,may,0,unknown,no
167,54,technician,married,secondary,no,1378.0,yes,no,unknown,5,may,0,unknown,no
168,54,administrative,married,tertiary,no,184.0,no,no,unknown,5,may,0,unknown,yes
169,50,blue-collar,married,primary,no,0.0,no,no,unknown,5,may,0,unknown,no
170,35,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
171,44,Services,married,secondary,no,1357.0,yes,yes,unknown,5,may,0,unknown,no
172,53,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5,may,0,unknown,no
173,35,retired,single,primary,no,434.0,no,no,unknown,5,may,0,unknown,no
174,60,administrative,divorced,secondary,no,92.0,yes,no,unknown,5,may,0,unknown,no
175,53,administrative,divorced,secondary,no,1151.0,yes,no,unknown,5,may,0,unknown,no
176,48,unemployed,married,secondary,no,41.0,yes,no,unknown,5,may,0,unknown,no
177,34,technician,married,secondary,no,51.0,yes,no,unknown,5,may,0,unknown,no
178,54,services,married,secondary,no,214.0,yes,no,unknown,5,may,0,unknown,no
179,51,management,married,secondary,no,1161.0,yes,no,unknown,5,may,0,unknown,no
180,31,services,married,tertiary,no,37.0,yes,no,unknown,5,may,0,unknown,no
181,35,technician,divorced,secondary,no,787.0,yes,no,unknown,5,may,0,unknown,no
182,35,services,married,secondary,no,59.0,yes,no,unknown,5,may,0,unknown,no
183,38,technician,married,secondary,no,253.0,yes,no,unknown,5,may,0,unknown,no
184,36,administrative,married,tertiary,no,211.0,yes,no,unknown,5,may,0,unknown,no
185,58,retired,married,primary,no,235.0,yes,no,unknown,5,may,0,unknown,no
186,40,services,divorced,unknown,no,4384.0,yes,no,unknown,5,may,0,unknown,no
187,54,management,married,secondary,no,4080.0,no,no,unknown,5,may,0,unknown,no
188,34,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5,may,0,unknown,no
189,31,management,single,tertiary,no,0.0,yes,no,unknown,5,may,0,unknown,no
190,51,retired,married,secondary,no,2127.0,yes,no,unknown,5,may,0,unknown,no
191,33,management,married,tertiary,no,377.0,yes,no,unknown,5,may,0,unknown,no
192,55,management,married,tertiary,no,73.0,yes,no,unknown,5,may,0,unknown,no
193,42,administrative,married,secondary,no,445.0,yes,no,unknown,5,may,0,unknown,no
194,34,blue-collar,married,secondary,no,243.0,yes,no,unknown,5,may,0,unknown,no
195,33,blue-collar,single,secondary,no,307.0,yes,no,unknown,5,may,0,unknown,no
196,38,services,married,secondary,no,155.0,yes,no,unknown,5,may,0,unknown,no
197,50,technician,divorced,tertiary,no,173.0,no,yes,unknown,5,may,0,unknown,no
198,43,management,married,tertiary,no,400.0,yes,no,unknown,5,may,0,unknown,no
199,61,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5,may,0,unknown,no
200,47,administrative,married,secondary,no,219.0,yes,no,unknown,5,may,0,unknown,no
201,48,self-employed,married,tertiary,no,7.0,yes,no,unknown,5,may,0,unknown,no
202,44,blue-collar,married,secondary,no,575.0,yes,no,unknown,5,may,0,unknown,no
203,35,student,single,unknown,no,298.0,yes,no,unknown,5,may,0,unknown,no
204,35,services,married,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
205,50,services,married,secondary,no,5699.0,yes,no,unknown,5,may,0,unknown,no
206,41,management,married,tertiary,no,176.0,yes,yes,unknown,5,may,0,unknown,no
207,41,management,married,tertiary,no,517.0,yes,no,unknown,5,may,0,unknown,no
208,39,services,single,unknown,no,257.0,yes,no,unknown,5,may,0,unknown,no
209,42,retired,married,secondary,no,56.0,yes,no,unknown,5,may,0,unknown,no
210,38,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5,may,0,unknown,no
211,53,retired,married,secondary,no,330.0,yes,no,unknown,5,may,0,unknown,no
212,59,housemaid,divorced,primary,no,195.0,no,no,unknown,5,may,0,unknown,no
213,36,services,married,secondary,no,301.0,yes,no,unknown,5,may,0,unknown,no
214,54,blue-collar,married,primary,no,-41.0,yes,no,unknown,5,may,0,unknown,no
215,40,technician,married,tertiary,no,483.0,yes,no,unknown,5,may,0,unknown,no
216,47,unknown,married,unknown,no,28.0,no,no,unknown,5,may,0,unknown,no
217,53,unemployed,married,unknown,no,13.0,no,no,unknown,5,may,0,unknown,no
218,46,housemaid,married,primary,no,965.0,no,no,unknown,5,may,0,unknown,no
219,39,management,married,tertiary,no,378.0,yes,yes,unknown,5,may,0,unknown,no
220,40,unemployed,married,secondary,no,219.0,yes,no,unknown,5,may,0,unknown,no
221,28,blue-collar,married,primary,no,324.0,yes,no,unknown,5,may,0,unknown,no
222,35,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5,may,0,unknown,no
223,55,retired,married,secondary,no,0.0,no,yes,unknown,5,may,0,unknown,no
224,43,technician,divorced,unknown,no,205.0,yes,no,unknown,5,may,0,unknown,no
225,48,blue-collar,married,primary,no,278.0,yes,no,unknown,5,may,0,unknown,no
226,58,management,married,unknown,no,1065.0,yes,no,unknown,5,may,0,unknown,no
227,33,management,single,tertiary,no,34.0,yes,no,unknown,5,may,0,unknown,no
228,36,blue-collar,married,unknown,no,1033.0,no,no,unknown,5,may,0,unknown,no
230,47,blue-collar,married,primary,no,-12.0,yes,no,unknown,5,may,0,unknown,no
231,31,services,married,secondary,no,388.0,yes,no,unknown,5,may,0,unknown,no
232,57,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5,may,0,unknown,no
233,53,blue-collar,married,unknown,no,1827.0,no,no,unknown,5,may,0,unknown,no
234,55,blue-collar,married,primary,no,627.0,yes,no,unknown,5,may,0,unknown,no
235,45,blue-collar,married,primary,no,25.0,yes,no,unknown,5,may,0,unknown,no
236,53,administrative,divorced,secondary,no,315.0,yes,no,unknown,5,may,0,unknown,no
237,37,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,0,unknown,no
238,44,administrative,divorced,secondary,no,66.0,yes,no,unknown,5,may,0,unknown,no
239,49,blue-collar,divorced,primary,no,-9.0,yes,yes,unknown,5,may,0,unknown,no
240,46,technician,married,secondary,no,349.0,yes,yes,unknown,5,may,0,unknown,no
241,43,entrepreneur,married,unknown,no,100.0,yes,no,unknown,5,may,0,unknown,no
242,38,administrative,married,secondary,no,0.0,no,no,unknown,5,may,0,unknown,no
243,43,technician,married,secondary,no,434.0,yes,no,unknown,5,may,0,unknown,no
244,49,management,married,tertiary,no,3237.0,yes,no,unknown,5,may,0,unknown,no
245,42,management,married,unknown,no,275.0,no,no,unknown,5,may,0,unknown,no
246,22,blue-collar,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
247,40,management,married,tertiary,no,207.0,yes,no,unknown,5,may,0,unknown,no
248,39,blue-collar,married,secondary,no,483.0,yes,no,unknown,5,may,0,unknown,no
249,51,services,married,secondary,no,2248.0,yes,no,unknown,5,may,0,unknown,no
250,49,administrative,married,secondary,no,428.0,yes,no,unknown,5,may,0,unknown,no
251,53,blue-collar,married,secondary,no,0.0,yes,yes,unknown,5,may,0,unknown,no
252,34,services,single,secondary,no,0.0,yes,no,unknown,5,may,0,unknown,no
253,33,technician,divorced,secondary,no,140.0,yes,no,unknown,5,may,0,unknown,no
254,50,management,single,tertiary,no,297.0,yes,no,unknown,5,may,0,unknown,no
255,39,blue-collar,married,primary,no,279.0,yes,no,unknown,5,may,0,unknown,no
256,59,entrepreneur,divorced,secondary,no,901.0,yes,no,unknown,5,may,0,unknown,no
257,30,technician,single,secondary,no,2573.0,yes,no,unknown,5,may,0,unknown,no
258,36,services,married,secondary,no,143.0,yes,yes,unknown,5,may,0,unknown,no
259,40,blue-collar,married,secondary,no,475.0,yes,no,unknown,5,may,0,unknown,no
260,53,blue-collar,married,secondary,no,70.0,yes,no,unknown,5,may,0,unknown,no
261,34,management,single,tertiary,no,318.0,yes,no,unknown,5,may,0,unknown,no
262,37,technician,married,secondary,no,275.0,yes,no,unknown,5,may,0,unknown,no
263,42,management,divorced,tertiary,no,742.0,yes,no,unknown,5,may,0,unknown,no
264,41,entrepreneur,married,primary,no,236.0,yes,no,unknown,5,may,0,unknown,no
265,30,student,single,tertiary,no,25.0,yes,no,unknown,5,may,0,unknown,no
266,37,management,single,tertiary,no,600.0,yes,no,unknown,5,may,0,unknown,no
267,39,administrative,divorced,secondary,no,-349.0,yes,no,unknown,5,may,0,unknown,no
268,41,blue-collar,married,primary,no,183.0,yes,yes,unknown,5,may,0,unknown,no
269,40,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,0,unknown,no
270,42,management,single,tertiary,no,0.0,yes,yes,unknown,5,may,0,unknown,yes
271,40,blue-collar,divorced,primary,no,0.0,yes,no,unknown,5,may,0,unknown,no
272,57,technician,married,secondary,no,1078.0,yes,no,unknown,5,may,0,unknown,no
273,56,entrepreneur,divorced,secondary,no,155.0,no,no,unknown,5,may,0,unknown,no
274,37,administrative,married,secondary,no,190.0,yes,no,unknown,5,may,0,unknown,no
275,59,retired,married,secondary,no,319.0,yes,no,unknown,5,may,0,unknown,no
276,39,services,divorced,secondary,no,-185.0,yes,no,unknown,5,may,0,unknown,no
277,49,services,married,secondary,no,47.0,no,no,unknown,5,may,0,unknown,no
